morph_input.txt-out.tx,usa samaya ko usa #cUha vahAz gujara rahA WA,उस समय को उस #चूह वहाँ गुजर रहा था,
morph_input.txt-out.tx,usane Sera kA xahAda sunI,उसने शेर का दहाड सुनी,
morph_input.txt-out.tx,usa usa xOdAyA,उस उस दौडाया,
morph_input.txt-out.tx,usane #xeKA #ki Sera ne jAla meM #PaMsA,उसने #देखा #कि शेर ने जाल में #फंसा,
morph_input.txt-out.tx,usane isa #xeKA,उसने इस #देखा,
morph_input.txt-out.tx,Sera jAla meM #PaMsa,शेर जाल में #फंस,
morph_input.txt-out.tx,Sera bahuwa #pareSAna hE,शेर बहुत #परेशान है,
morph_input.txt-out.tx,usa wejI jAla #apanA pEne xAzwoM se kAta ke lie,उस तेजी जाल #अपना पैने दाँतों से काट के लिए,
morph_input.txt-out.tx,jAla jalxI kata,जाल जल्दी कट,
morph_input.txt-out.tx,Sera jAla mukwa ho,शेर जाल मुक्त हो,
morph_input.txt-out.tx,Sera prasanna#ho cUhiyoM ko bahuwa XanyavAxa xe,शेर प्रसन्न#हो चूहियों को बहुत धन्यवाद दे,
morph_input.txt-out.tx,Sera ne prasanna#ho cUhiyoM ko bahuwa XanyavAxa xiyA,शेर ने प्रसन्न#हो चूहियों को बहुत धन्यवाद दिया,
morph_input.txt-out.tx,cUhA bila se #bAhara meM,चूहा बिल से #बाहर में,
morph_input.txt-out.tx,vaha peda kA #nIce meM ArAma kara rahA WA,वह पेड का #नीचे में आराम कर रहा था,
morph_input.txt-out.tx,vaha Sera meM #uCala#kUxa kara lagegA,वह शेर में #उछल#कूद कर लगेगा,
morph_input.txt-out.tx,isa Sera gussA AyA,इस शेर गुस्सा आया,
morph_input.txt-out.tx,usane cUhe ko pakadA,उसने चूहे को पकडा,
morph_input.txt-out.tx,cUhA dara,चूहा डर,
morph_input.txt-out.tx,jaMgala meM Sera #hE,जंगल में शेर #है,
morph_input.txt-out.tx,vaha peda kA #nIce meM ArAma kara rahA WA,वह पेड का #नीचे में आराम कर रहा था,
morph_input.txt-out.tx,usa peda kA #nIce meM bila meM cUhA rahawA WA,उस पेड का #नीचे में बिल में चूहा रहता था,
morph_input.txt-out.tx,cUhA bila se #bAhara meM,चूहा बिल से #बाहर में,
morph_input.txt-out.tx,vaha Sera meM #uCala#kUxa kara lagegA,वह शेर में #उछल#कूद कर लगेगा,
morph_input.txt-out.tx,isa Sera gussA AyA,इस शेर गुस्सा आया,
morph_input.txt-out.tx,usane cUhe ko pakadA,उसने चूहे को पकडा,
morph_input.txt-out.tx,cUhA dara,चूहा डर,
morph_input.txt-out.tx,vaha Sera isakA #kahayA,वह शेर इसका #कहया,
morph_input.txt-out.tx,mEM mAPa #kara,मैं माफ #कर,
morph_input.txt-out.tx,jaba ko kaBI ko #BI wuma AvaSyakawA hoUzgA waba mEM wuma #avaSya maxaxa karUzgA,जब को कभी को #भी तुम आवश्यकता होऊँगा तब मैं तुम #अवश्य मदद करूँगा,
morph_input.txt-out.tx,Sera usake bAwa meM haMsa AyA,शेर उसके बात में हंस आया,
morph_input.txt-out.tx,vaha cUhe ko Coda,वह चूहे को छोड,
morph_input.txt-out.tx,kuCa samaya ko #bAxa jaMgala meM #kuCa SikArI AyA,#कुछ समय को #बाद जंगल में #कुछ शिकारी आया,
morph_input.txt-out.tx,usane Sera pakada ke lie jAla biCAyA,उसने शेर पकड के लिए जाल बिछाया,
morph_input.txt-out.tx,Sera usa jAla meM #PaMsa,शेर उस जाल में #फंस,
morph_input.txt-out.tx,vaha jAla se #nahIM #nikala,वह जाल से #नहीं #निकल,
morph_input.txt-out.tx,Sera bahuwa pareSAna ho,शेर बहुत परेशान हो,
morph_input.txt-out.tx,vaha jora xahAdA,वह जोर दहाडा,
morph_input.txt-out.tx,usa samaya ko usa #cUha vahAz gujara rahA WA,उस समय को उस #चूह वहाँ गुजर रहा था,
morph_input.txt-out.tx,usane Sera kA xahAda sunI,उसने शेर का दहाड सुनी,
morph_input.txt-out.tx,vaha usa xOdAyA,वह उस दौडाया,
morph_input.txt-out.tx,usane #xeKA #ki Sera ne jAla meM #PaMsA,उसने #देखा #कि शेर ने जाल में #फंसा,
morph_input.txt-out.tx,usane isa #xeKA,उसने इस #देखा,
morph_input.txt-out.tx,Sera jAla meM #PaMsa,शेर जाल में #फंस,
morph_input.txt-out.tx,Sera bahuwa #pareSAna hE,शेर बहुत #परेशान है,
morph_input.txt-out.tx,vaha wejI jAla #apanA pEne xAzwoM se kAta ke lie,वह तेजी जाल #अपना पैने दाँतों से काट के लिए,
morph_input.txt-out.tx,jAla jalxI kata,जाल जल्दी कट,
morph_input.txt-out.tx,Sera jAla mukwa ho,शेर जाल मुक्त हो,
morph_input.txt-out.tx,Sera prasanna#ho cUhiyoM ko bahuwa XanyavAxa xe,शेर प्रसन्न#हो चूहियों को बहुत धन्यवाद दे,
morph_input.txt-out.tx,Sera ne prasanna#ho cUhiyoM ko bahuwa XanyavAxa xiyA,शेर ने प्रसन्न#हो चूहियों को बहुत धन्यवाद दिया,
morph_input.txt-out.tx,jaMgala meM Sera,जंगल में शेर,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,Apa kim meM rahawA hE,आप किम् में रहता है,
morph_input.txt-out.tx,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,
morph_input.txt-out.tx,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,
morph_input.txt-out.tx,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,
morph_input.txt-out.tx,rAma ne skUla KAnA KAyA,राम ने स्कूल खाना खाया,
morph_input.txt-out.tx,rAma ne skUla KAnA KAyA,राम ने स्कूल खाना खाया,
morph_input.txt-out.tx,rAma ne skUla KAnA KAyA,राम ने स्कूल खाना खाया,
morph_input.txt-out.tx,rAma ne skUla KAnA KAyA,राम ने स्कूल खाना खाया,
morph_input.txt-out.tx,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,
morph_input.txt-out.tx,mEM #kala ko AI,मैं #कल को आई,
morph_input.txt-out.tx,rAma ne skUla #jA KAnA KAyA,राम ने स्कूल #जा खाना खाया,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,vaha bahuwa vqxXa #hE,वह बहुत वृद्ध #है,
morph_input.txt-out.tx,usa eka betA #hE,उस एक बेटा #है,
morph_input.txt-out.tx,vaha bahuwa CotA #hE,वह बहुत छोटा #है,
morph_input.txt-out.tx,rAjA #vaha acCA manwrI cAhawA WA,राजा #वह अच्छा मन्त्री चाहता था,
morph_input.txt-out.tx,usane apanA ke manwrIyoM ko xarabAra meM bulAe,उसने अपना के मन्त्रीयों को दरबार में बुलाए,
morph_input.txt-out.tx,usane manwrIyoM isa pUCA,उसने मन्त्रीयों इस पूछा,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,vaha bahuwa vqxXa #hE,वह बहुत वृद्ध #है,
morph_input.txt-out.tx,usa eka betA #hE,उस एक बेटा #है,
morph_input.txt-out.tx,vaha bahuwa CotA #hE,वह बहुत छोटा #है,
morph_input.txt-out.tx,rAjA #vaha acCA manwrI cAhawA WA,राजा #वह अच्छा मन्त्री चाहता था,
morph_input.txt-out.tx,usane apanA ke manwrIyoM ko xarabAra meM bulAe,उसने अपना के मन्त्रीयों को दरबार में बुलाए,
morph_input.txt-out.tx,usane manwrIyoM isa pUCA,उसने मन्त्रीयों इस पूछा,
morph_input.txt-out.tx,kyA mEM saMsAra meM acCA rAjA hUz?,क्या मैं संसार में अच्छा राजा हूँ?,
morph_input.txt-out.tx,sAre manwrIyoM ne rAjA ko isa #kahA,सारे मन्त्रीयों ने राजा को इस #कहा,
morph_input.txt-out.tx,wuma saMsAra meM acCA rAjA hE,तुम संसार में अच्छा राजा है,
morph_input.txt-out.tx,rAjA usako #puraskAraxeyA,राजा उसको #पुरस्कारदेया,
morph_input.txt-out.tx,eka manwrI #SAnwa #hE,एक मन्त्री #शान्त #है,
morph_input.txt-out.tx,rAjA ne usa kAraNa pUCA,राजा ने उस कारण पूछा,
morph_input.txt-out.tx,manwrI ne rAjA ko isa bolA,मन्त्री ने राजा को इस बोला,
morph_input.txt-out.tx,wuma bahuwa acCA rAjA #hE hE,तुम बहुत अच्छा राजा #है है,
morph_input.txt-out.tx,paranwu saMsAra meM wuma acCA rAjA #BI #hE hE,परन्तु संसार में तुम अच्छा राजा #भी #है है,
../mantri/sukhadamam17,Associated Noun not found for adjective prasanna_1.,Error,
morph_input.txt-out.tx,usa usa apanA ke betoM kA aBiBAvaka banA,उस उस अपना के बेटों का अभिभावक बना,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,rAjA #vaha acCA manwrI cAhawA WA,राजा #वह अच्छा मन्त्री चाहता था,
morph_input.txt-out.tx,usane apanA ke manwrIyoM ko xarabAra meM bulAe,उसने अपना के मन्त्रीयों को दरबार में बुलाए,
morph_input.txt-out.tx,usane manwrIyoM isa pUCA,उसने मन्त्रीयों इस पूछा,
morph_input.txt-out.tx,usane #apanA manwrIyoM ko xarabAra meM bulAe,उसने #अपना मन्त्रीयों को दरबार में बुलाए,
morph_input.txt-out.tx,kannOja meM rAjA #hE,कन्नौज में राजा #है,
morph_input.txt-out.tx,vaha bahuwa vqxXa #hE,वह बहुत वृद्ध #है,
morph_input.txt-out.tx,usa eka betA #hE,उस एक बेटा #है,
morph_input.txt-out.tx,vaha bahuwa CotA #hE,वह बहुत छोटा #है,
morph_input.txt-out.tx,rAjA #vaha acCA manwrI cAhawA WA,राजा #वह अच्छा मन्त्री चाहता था,
morph_input.txt-out.tx,usane #apanA manwrIyoM ko xarabAra meM bulAe,उसने #अपना मन्त्रीयों को दरबार में बुलाए,
morph_input.txt-out.tx,usane manwrIyoM isa pUCA,उसने मन्त्रीयों इस पूछा,
morph_input.txt-out.tx,kyA mEM saMsAra meM acCA rAjA hUz?,क्या मैं संसार में अच्छा राजा हूँ?,
morph_input.txt-out.tx,manwrIyoM ne rAjA isa kahA,मन्त्रीयों ने राजा इस कहा,
morph_input.txt-out.tx,Apa saMsAra meM acCA rAjA hE,आप संसार में अच्छा राजा है,
morph_input.txt-out.tx,rAjA ne usako puraskAra xie,राजा ने उसको पुरस्कार दिए,
morph_input.txt-out.tx,eka manwrI #SAnwa #hE,एक मन्त्री #शान्त #है,
morph_input.txt-out.tx,rAjA ne usa kAraNa pUCA,राजा ने उस कारण पूछा,
morph_input.txt-out.tx,manwrI ne rAjA ko isa bolA,मन्त्री ने राजा को इस बोला,
../mantri/sukhadamam15,Associated Noun not found for adjective bahuwa_7.,Error,
morph_input.txt-out.tx,saMsAra meM wuma acCe rAjA hEM,संसार में तुम अच्छे राजा हैं,
morph_input.txt-out.tx,saMsAra meM Apa acCe rAjA hEM,संसार में आप अच्छे राजा हैं,
morph_input.txt-out.tx,rAjA #vaha bAwa #suna bahuwa prasanna #hE,राजा #वह बात #सुन बहुत प्रसन्न #है,
morph_input.txt-out.tx,usa usa #apanA betoM kA aBiBAvaka banA,उस उस #अपना बेटों का अभिभावक बना,
morph_input.txt-out.tx,usa usa #apanA bete kA aBiBAvaka banA,उस उस #अपना बेटे का अभिभावक बना,
morph_input.txt-out.tx,rAjA usakA bAwa #suna bahuwa prasanna #hE,राजा उसका बात #सुन बहुत प्रसन्न #है,
mantri/sukhadamam15,No such File found.,Error,
mantri/sukhadamam14,No such File found.,Error,
mantri/sukhadamam15,No such File found.,Error,
mantri/sukhadamam16,No such File found.,Error,
morph_input.txt-out.tx,saMsAra meM Apa acCe rAjA hEM,संसार में आप अच्छे राजा हैं,
../mantri/sukhadamam15,Associated Noun not found for adjective bahuwa_7.,Error,
morph_input.txt-out.tx,manwrI ne rAjA ko isa bolA,मन्त्री ने राजा को इस बोला,
../mantri/sukhadamam15,Associated Noun not found for adjective bahuwa_7.,Error,
morph_input.txt-out.tx,saMsAra meM Apa acCe rAjA hEM,संसार में आप अच्छे राजा हैं,
../mantri/sukhadamam15,Associated Noun not found for adjective bahuwa_7.,Error,
../verified_sent/1,Apa kahAz rahawe hEM?,#Apa kahAz rahawe ho,#आप कहाँ रहते हो,
../verified_sent/2,aXyApaka aBI Aye hEM.,aXyApaka aBI AyA hE,अध्यापक अभी आया है,
../verified_sent/3,baccA agaswa meM Pala KAwA hE.,baccA agaswa ko Pala KAwA hE,बच्चा अगस्त को फल खाता है,
