Label,Hindi,Eng,Marathi,Tamil,German,Japanese
hameSA_1,hameSA_1,always_1,,,immer_1,
harA_1,harA_1,beat_1,,,,
hara_1,hara_1,every_1,,,jed_1,
hasa_1,hasa_1,laugh_1,,,lachen_1,warau_1
hisAba_1,hisAba_1,arithmetic_1,,,,
ho_1,ho_1,have_2,,,,
iMjIniyariMga+kAleja_1,iMjIniyariMga+kAleja_1,engineering-college_1,,,,
iMstItyUtsa_1,iMstItyUtsa_1,institute_1,,,,
ilAkA_1,ilAkA_1,area_1,,,,
ilekrAniksa+injIniyara_1,ilekrAniksa+injIniyara_1,electronics-engineer_1,,,,
inAma_1,inAma_1,award_1,,,,
ina-xinoM_1,ina-xinoM_1,these-days_1,,,,
ina_1,ina_1,these_1,,,dies_1,
inwajAra+kara_1,inwajAra+kara_1,wait_1,,,,
irAxA_1,irAxA_1,intention_1,,,,
isa_1,isa_1,this_1,,,,
iswemAla+ho_1,iswemAla+ho_1,utilized_1,,,,
iswemAla+kara_1,iswemAla+kara_1,use_1,,,,
iwihAsa_1,iwihAsa_1,history_1,,,,
jAMgalI_1,jAMgalI_1,wild_1,,,,
jA_1,jA_1,go_1,,,gehen_1,iku_1
jA_2,jA_2,attend_2,,,,
jA_3,jA_3,leave_1,,,ab+fahren_1,
jA_4,jA_4,leave_1,,,ab+reisen_1,
jAnA_1,jAnA_1,going_1,,,,
jAna_1,jAna_1,know_1,,,kennen_1,
jAsUsa_1,jAsUsa_1,detective_1,,,,
jI_1,jI_1,yes_2,,,,
jIvana_1,jIvana_1,life_1,,,leben_1,
jIwa_1,jIwa_1,win_1,,,gewinnen_1,
jUna_1,jUna_1,Jun_1,,,,
jUta_1,jUta_1,lie_2,,,,
jZarA_1,jZarA_1,please_1,,,,
jZiMxA+raha_1,jZiMxA+raha_1,survive_1,,,,
jZixa+kara_1,jZixa+kara_1,insist_1,,,,
jZyAxA_1,jZyAxA_1,high_1,,,,
jaMgala_1,jaMgala_1,forest_1,,,,
jaba_1,jaba_1,when_1,,,,
jagaha_1,jagaha_1,place_1,,,,
jala_1,jala_1,water_1,,,,
jalxI_2,jalxI_1,soon_1,,,,
jalxI_2,jalxI_2,early_2,,,,
jamA+kara_1,jamA+kara_1,deposit_1,,,,
janavarI_1,janavarI_1,Jan_1,,,,
janma_1,janma_1,birth_1,,,,
jarUrI_1,jarUrI_1,important_1,,,,
javAba_1,javAba_1,answer_1,,,antwort_1,
jinxagI_1,jinxagI_1,life_2,,,,
julAI_1,julAI_1,Jul_1,,,,
kAPI_2,kAPI_1,considerably_1,,,,
kAPI_2,kAPI_2,lot_2,,,menge_1,
kAPI_3,kAPI_3,very_3,,,,
kAgajZAwa_1,kAgajZAwa_1,paper_1,,,,
kAlA_1,kAlA_1,black_1,,,,
kAlI+saPexa_1,kAlI+saPexa_1,black and white_1,,,,
kAleja_1,kAleja_1,collage_1,,,,
kAma+kara_2,kAma+kara_2,do_2,,,,
kAma_1,kAma_1,work_2,,,,
kAmakAjI+mahilA_1,kAmakAjI+mahilA_1,work-lady_1,,,,
kArya_1,kArya_1,work_3,,,,
kAta_1,kAta_1,cut_1,,,,
kAuntara_1,kAuntara_1,counter_1,,,,
kESa_1,kESa_1,cash_1,,,,
kEsA_1,kEsA_1,how_1,,,,
kEse_1,kEse_1,how_2,,,,
kImawa_1,kImawa_1,rate_1,,,,
kOna_1,kOna_1,who_1,,,,
kOnasA_1,kOnasA_1,which_1,,,,
kUxa_1,kUxa_1,jump_1,,,,
kaBI-kaBI_1,kaBI-kaBI_1,sometimes_1,,,,
kaBI-nahIM_1,kaBI-nahIM_1,never_1,,,nie_1,
kaI_1,kaI_1,many_2,,,,
kaMgana_1,kaMgana_1,bangle_1,,,,
kaTina_1,kaTina_1,hard_1,,,,
kaba_1,kaba_1,when_2,,,,
kahAnI_1,kahAnI_1,story_1,,,geschichte_1,
kahAz_1,kahAz_1,where_1,,,,
kaha_1,kaha_1,say_1,,,,
kaha_2,kaha_2,tell_4,,,,
kakRAXyApaka_1,kakRAXyApaka_1,class-teacher_1,,,,
kakRA_1,kakRA_1,class_1,,,,
kala_1,kala_1,tomorrow_1,,,,
kala_2,kala_2,yesterday_2,,,gestern_1,
kalam_1,kalam_1,pen_1,,,,
kalama_1,kalama_1,pen_2,,,,
kamISana_1,kamISana_1,commission_1,,,,
kamarA_1,kamarA_1,room_1,,,,
kamare_1,kamare_1,room_2,,,zimmer_1,
kampanI_1,kampanI_1,company_1,,,,
kampyUtara+korsa_1,kampyUtara+korsa_1,computer-course_1,,,,
kampyUtara_1,kampyUtara_1,computer_1,,,,
karIba_1,karIba_1,about_1,,,,
kara_1,kara_1,do_1,,,,
kara_2,kara_2,take_2,,,,
kOna_1,kOna_1,who_2,,,,
keka_1,keka_1,cake_1,,,kuchen_1,keeki_1
kevala_1,kevala_1,only_1,,,,
kilomItara_1,kilomItara_1,kilometer_1,,,,
kinArA_1,kinArA_1,bank_1,,,,
kirAyA_1,kirAyA_1,rent_1,,,,
kirAyA_2,kirAyA_2,rent_2,,,,
kisAna_1,kisAna_1,farmer_1,,,Bauer_1,
kisI_1,kisI_1,some_2,,,,
kisa_1,kisa_1,which_3,,,,
kismawa_1,kismawa_1,luck_1,,,,
kitI_1,kitI_1,kitty_1,,,,
kiwAba_1,kiwAba_1,book_1,,,buch_1,hon_1
kiwanA_1,kiwanA_1,how-much_1,,,,
kiwanA_2,kiwanA_2,how-many_2,,,,
koI_1,koI_1,any_1,,,,
koI_2,koI_2,any_2,,,,
koSiSa_1,koSiSa_1,try_1,,,,
korsa_1,korsa_1,course_1,,,,
kota_1,kota_1,coat_1,,,,
kriketa+mEca_1,kriketa+mEca_1,cricket-match_1,,,,
kriketa+KilAdZI_1,kriketa+KilAdZI_1,cricket-player_1,,,,
kriketa_1,kriketa_1,cricket_1,,,,
kuCa_1,kuCa_1,some_3,,,,
kuCa_2,kuCa_2,some_4,,,,
kuSala_1,kuSala_1,adept_1,,,,
kuCa_3,kuCa_3,some_5,,,,
kursI_1,kursI_1,chair_1,,,stuhl_1,isu_1
kyA_1,kyA_1,what_1,,,,
kyA_2,kyA_2,what_2,,,,
kyoM-ki_1,kyoM-ki_1,because_1,,,weil_1,
kyoM_1,kyoM_1,why_1,,,,
lABaxAyaka_1,lABaxAyaka_1,useful_1,,,,
lA_1,lA_1,bring_1,,,bringen_1,
lAla_1,lAla_1,red_1,,,,akai_1
lOtA_1,lOtA_1,return_1,,,,
lOta_1,lOta_1,return_2,,,,
ladZakA_1,ladZakA_1,boy_2,,,,
ladZakA_2,ladZakA_2,son_2,,,,
ladakA_1,ladakA_1,boy_3,,,,
ladakI_1,ladakI_1,girl_1,,,mädchen_1,onnnanoko_1
ladZakI_1,ladZakI_1,girl_2,,,,
laga_1,laga_1,feel_1,,,,
laga_2,laga_2,take_3,,,,
lakadZI_1,lakadZI_1,wood_1,,,,
le_1,le_1,take_1,,,,
lekcara_1,lekcara_1,lecture_1,,,,
lena-xena_1,lena-xena_1,dealings_1,,,,
loga_1,loga_1,people_1,,,,
lohA_1,lohA_1,iron_1,,,,
lomadZI_1,lomadZI_1,fox_1,,,,
mAlI_1,mAlI_1,gardener_1,,,gärtner_1,niwashi_1
mAlUma+ho_1,mAlUma+ho_1,seem_1,,,,
mAlUma_1,mAlUma_1,know_4,,,,
mAla_1,mAla_1,property_1,,,,
mAlika_1,mAlika_1,owner_1,,,,
mAnItara_1,mAnItara_1,monitor_1,,,,
mAna_1,mAna_1,believe_1,,,,
mAra_1,mAra_1,kill_1,,,töten_1,
mAra_2,mAra_2,shoot_2,,,,
mArca_1,mArca_1,Mar_1,,,,
mArga_1,mArga_1,road_1,,,,
mAsa_1,mAsa_1,month_1,,,,
mahInA_1,mahInA_1,month_1,,,,
mAwA-piwA_1,mAwA-piwA_1,parent_1,,,,
mAwA_1,mAwA_1,mother_1,,,mutter_1,
mAz_1,mAz_1,mother_2,,,,
mEca_1,mEca_1,match_1,,,,
mEdama_1,mEdama_1,madam_1,,,,
mEseja_1,mEseja_1,massage_1,,,,
mExAna_1,mExAna_1,ground_1,,,erde_1,
mOkA_1,mOkA_1,chance_1,,,,
mOsama_1,mOsama_1,weather_1,,,,
maI_1,maI_1,May_1,,,,
maKKana_1,maKKana_1,butter_1,,,,
maMgalavAra_1,maMgalavAra_1,Tue_1,,,,
maSIna_1,maSIna_1,machine_1,,,,
maXura_1,maXura_1,melodious_1,,,,
mahAna_1,mahAna_1,great_2,,,,
mahasUsa+kara_1,mahasUsa+kara_1,feel_2,,,,
mahilA_1,mahilA_1,woman_1,,,,
majZAka+kara_1,majZAka+kara_1,joke_1,,,,
majZaxUrI_1,majZaxUrI_1,wage_1,,,,
majabUwa_1,majabUwa_1,strong_2,,,,
makAna_1,makAna_1,home_1,,,,
makAna_2,makAna_2,flat_3,,,,
manapasaMxa_1,manapasaMxa_1,favorite_1,,,,
manohara_1,manohara_1,interesting_1,,,,
manxira_1,manxira_1,temple_1,,,,
mawa+dAla_1,mawa+dAla_1,vote_1,,,,
mawa_1,mawa_1,not_1,,,,
mawalaba+ho_1,mawalaba+ho_1,mean_1,,,,
mawaxAna+kara_1,mawaxAna+kara_1,vote_2,,,,
mawiBrama_1,mawiBrama_1,hallucination_1,,,,
maxaxa+kara_1,maxaxa+kara_1,help_1,,,helfen_1,
melA_1,melA_1,fair_1,,,,
mila+kara_1,mila+kara_1,meet_1,,,treffen_1,
mila_1,mila_1,get_1,,,,
mila_2,mila_2,see_2,,,,
mila_3,mila_3,meet_3,,,,
mila_4,mila_4,receive_4,,,,
mila_5,mila_5,find_2,,,,
miwra_1,miwra_1,friend_1,,,,
morawala_1,morawala_1,mortal_1,,,,
motA_1,motA_1,fat_1,,,,
mqwyu_1,mqwyu_1,death_1,,,,
muKya_1,muKya_1,main_1,,,,
muSkila_1,muSkila_1,hard_2,,,,
nASwA_1,nASwA_1,breakfast_1,,,Frühstück_1,
nAca_1,nAca_1,dance_1,,,,
nAma_1,nAma_1,name_1,,,name_1,
nAma_2,nAma_2,reputation_2,,,,
nArAjZa_1,nArAjZa_1,angry_1,,,,
nArAjZa_2,nArAjZa_2,angry_2,,,,
nOkarI_1,nOkarI_1,job_1,,,,
nOkara_1,nOkara_1,servant_1,,,,
naMbara_1,naMbara_1,number_1,,,,
nahIM_1,nahIM_1,not_2,,,,
nakaxa-rupayA_1,nakaxa-rupayA_1,cash_2,,,,
namUnA_1,namUnA_1,sample_1,,,probe_1,sanpuru_1
narka_1,narka_1,hell_1,,,,
narsa_1,narsa_1,nurse_1,,,,
navambara_1,navambara_1,Nov_1,,,,
nawIjA_1,nawIjA_1,result_1,,,,
naxI_1,naxI_1,river_1,,,,
nayA_1,nayA_1,new_1,,,neu_1,
nibanXa_1,nibanXa_1,essay_1,,,,
nikAla_1,nikAla_1,bring_2,,,,motsu_1
nikAla_2,nikAla_2,launch_2,,,,
nikala_1,nikala_1,rise_1,,,,
nirXana_1,nirXana_1,poor_2,,,,
niranwara_1,niranwara_1,constantly_1,,,,
nirxayI_1,nirxayI_1,cruel_1,,,,
oYPisa_1,oYPisa_1,office_1,,,,
pATa_1,pATa_1,lesson_1,,,,
pAnI_1,pAnI_1,water_2,,,,
